image_id,healthy,multiple_diseases,rust,scab
Test_95,0.24,0.09,0.03,0.64
Test_96,0.13,0.03,0.01,0.83
Test_97,0.31,0.03,0.01,0.65
Test_98,0.18,0.12,0.06,0.65
Test_99,0.35,0.06,0.06,0.53
Test_100,0.21,0.1,0.04,0.65
Test_101,0.56,0.02,0.02,0.4
Test_102,0.41,0.05,0.04,0.5
Test_103,0.61,0.05,0.06,0.28
Test_104,0.23,0.09,0.03,0.65
Test_105,0.17,0.04,0.01,0.77
Test_106,0.55,0.04,0.05,0.37
Test_107,0.0,0.05,0.95,0.0
Test_108,0.27,0.09,0.03,0.61
Test_109,0.27,0.08,0.58,0.07
Test_110,0.51,0.04,0.1,0.35
Test_111,0.4,0.02,0.03,0.56
Test_112,0.0,0.11,0.89,0.0
Test_113,0.74,0.05,0.03,0.19
Test_114,0.36,0.1,0.41,0.13
Test_115,0.0,0.06,0.93,0.0
Test_116,0.0,0.03,0.97,0.0
Test_117,0.0,0.01,0.99,0.0
Test_118,0.0,0.03,0.97,0.0
Test_119,0.67,0.06,0.19,0.08
Test_120,0.01,0.25,0.74,0.0
Test_121,0.03,0.24,0.71,0.03
Test_122,0.0,0.29,0.7,0.0
Test_123,0.0,0.01,0.99,0.0
Test_124,0.22,0.07,0.03,0.69
Test_125,0.66,0.08,0.07,0.19
Test_126,0.78,0.03,0.05,0.14
Test_127,0.2,0.04,0.03,0.73
Test_128,0.27,0.22,0.38,0.12
Test_129,0.0,0.09,0.91,0.0
Test_130,0.25,0.09,0.03,0.64
Test_131,0.15,0.04,0.01,0.79
Test_132,0.72,0.02,0.02,0.25
Test_133,0.24,0.11,0.05,0.61
Test_134,0.45,0.03,0.04,0.48
Test_135,0.0,0.01,0.99,0.0
Test_136,0.18,0.04,0.01,0.76
Test_137,0.0,0.0,1.0,0.0
Test_138,0.02,0.25,0.72,0.01
Test_139,0.83,0.02,0.06,0.09
Test_140,0.06,0.24,0.56,0.13
Test_141,0.15,0.06,0.02,0.77
Test_142,0.13,0.06,0.02,0.79
Test_143,0.37,0.08,0.03,0.52
Test_144,0.22,0.05,0.02,0.71
Test_145,0.3,0.08,0.04,0.58
Test_146,0.0,0.02,0.98,0.0
Test_147,0.03,0.19,0.77,0.01
Test_148,0.64,0.07,0.04,0.25
Test_149,0.03,0.06,0.9,0.0
Test_150,0.56,0.08,0.05,0.31
Test_151,0.0,0.0,1.0,0.0
Test_152,0.0,0.0,1.0,0.0
Test_153,0.18,0.06,0.02,0.73
Test_154,0.0,0.02,0.98,0.0
Test_155,0.0,0.13,0.87,0.0
Test_156,0.52,0.06,0.07,0.35
Test_157,0.06,0.13,0.78,0.02
Test_158,0.18,0.04,0.02,0.77
Test_159,0.0,0.38,0.61,0.0
Test_160,0.3,0.02,0.01,0.68
Test_161,0.35,0.05,0.03,0.56
Test_162,0.0,0.09,0.91,0.0
Test_163,0.0,0.33,0.66,0.0
Test_164,0.23,0.04,0.02,0.71
Test_165,0.23,0.08,0.03,0.67
Test_166,0.0,0.07,0.93,0.0
Test_167,0.0,0.02,0.98,0.0
Test_168,0.04,0.24,0.7,0.03
Test_169,0.01,0.12,0.87,0.0
Test_170,0.12,0.07,0.02,0.79
Test_171,0.0,0.03,0.97,0.0
Test_172,0.0,0.14,0.85,0.0
Test_173,0.0,0.01,0.99,0.0
Test_174,0.36,0.05,0.02,0.56
Test_175,0.3,0.1,0.04,0.57
Test_176,0.0,0.05,0.95,0.0
Test_177,0.17,0.06,0.02,0.75
Test_178,0.1,0.05,0.02,0.83
Test_179,0.01,0.12,0.87,0.01
Test_180,0.0,0.07,0.93,0.0
Test_181,0.22,0.08,0.03,0.68
Test_182,0.0,0.25,0.75,0.0
Test_183,0.24,0.07,0.03,0.66
Test_184,0.63,0.04,0.13,0.21
Test_185,0.32,0.21,0.34,0.12
Test_186,0.39,0.05,0.05,0.51
Test_187,0.0,0.05,0.95,0.0
Test_188,0.0,0.07,0.93,0.0
Test_189,0.3,0.1,0.05,0.55
Test_190,0.0,0.01,0.99,0.0
Test_191,0.03,0.2,0.76,0.01
Test_192,0.1,0.26,0.4,0.24
Test_193,0.0,0.01,0.99,0.0
Test_194,0.0,0.07,0.93,0.0
Test_195,0.31,0.13,0.05,0.52
Test_196,0.38,0.07,0.03,0.52
Test_197,0.41,0.1,0.31,0.19
Test_198,0.44,0.03,0.01,0.51
Test_199,0.03,0.25,0.58,0.14
Test_200,0.06,0.15,0.78,0.01
Test_201,0.19,0.13,0.07,0.61
Test_202,0.05,0.14,0.79,0.01
Test_203,0.0,0.07,0.93,0.0
Test_204,0.3,0.11,0.05,0.54
Test_205,0.17,0.04,0.01,0.77
Test_206,0.35,0.05,0.02,0.58
Test_207,0.02,0.19,0.71,0.08
Test_208,0.51,0.08,0.12,0.29
Test_209,0.0,0.0,1.0,0.0
Test_210,0.37,0.13,0.1,0.39
Test_211,0.29,0.28,0.26,0.16
Test_212,0.0,0.01,0.99,0.0
Test_213,0.0,0.06,0.94,0.0
Test_214,0.0,0.0,1.0,0.0
Test_215,0.6,0.06,0.03,0.31
Test_216,0.6,0.06,0.03,0.31
Test_217,0.17,0.05,0.01,0.77
Test_218,0.59,0.04,0.02,0.35
Test_219,0.0,0.07,0.92,0.0
Test_220,0.25,0.07,0.03,0.65
Test_221,0.47,0.06,0.02,0.44
Test_222,0.03,0.08,0.89,0.0
Test_223,0.0,0.02,0.98,0.0
Test_224,0.58,0.04,0.19,0.18
Test_225,0.57,0.04,0.06,0.33
Test_226,0.0,0.01,0.99,0.0
Test_227,0.21,0.12,0.05,0.62
Test_228,0.0,0.04,0.96,0.0
Test_229,0.0,0.01,0.99,0.0
Test_230,0.12,0.03,0.01,0.83
Test_231,0.14,0.03,0.01,0.82
Test_232,0.83,0.03,0.03,0.11
Test_233,0.37,0.08,0.06,0.49
Test_234,0.2,0.05,0.02,0.73
Test_235,0.24,0.05,0.02,0.69
Test_236,0.29,0.19,0.23,0.29
Test_237,0.2,0.03,0.02,0.75
Test_238,0.0,0.0,1.0,0.0
Test_239,0.0,0.05,0.94,0.0
Test_240,0.0,0.06,0.94,0.0
Test_241,0.0,0.09,0.91,0.0
Test_242,0.39,0.02,0.01,0.58
Test_243,0.66,0.02,0.06,0.26
Test_244,0.36,0.05,0.05,0.54
Test_245,0.0,0.29,0.71,0.0
Test_246,0.32,0.06,0.03,0.59
Test_247,0.22,0.1,0.04,0.64
Test_248,0.23,0.07,0.02,0.68
Test_249,0.0,0.13,0.86,0.0
Test_250,0.64,0.08,0.05,0.23
Test_251,0.28,0.14,0.06,0.51
Test_252,0.18,0.17,0.62,0.03
Test_253,0.31,0.1,0.04,0.55
Test_254,0.19,0.09,0.03,0.68
Test_255,0.14,0.12,0.05,0.69
Test_256,0.28,0.11,0.04,0.56
Test_257,0.01,0.1,0.88,0.0
Test_258,0.37,0.24,0.18,0.21
Test_259,0.51,0.04,0.06,0.39
Test_260,0.17,0.04,0.02,0.78
Test_261,0.0,0.18,0.82,0.0
Test_262,0.4,0.07,0.05,0.48
Test_263,0.57,0.08,0.04,0.3
Test_264,0.36,0.06,0.02,0.56
Test_265,0.0,0.0,1.0,0.0
Test_266,0.24,0.07,0.03,0.67
Test_267,0.33,0.03,0.02,0.62
Test_268,0.0,0.06,0.94,0.0
Test_269,0.21,0.09,0.04,0.66
Test_270,0.27,0.07,0.02,0.64
Test_271,0.25,0.04,0.03,0.68
Test_272,0.0,0.1,0.9,0.0
Test_273,0.7,0.03,0.08,0.2
Test_274,0.0,0.03,0.97,0.0
Test_275,0.0,0.0,1.0,0.0
Test_276,0.13,0.31,0.2,0.36
Test_277,0.38,0.03,0.01,0.58
Test_278,0.24,0.09,0.04,0.62
Test_279,0.0,0.06,0.94,0.0
Test_280,0.23,0.08,0.03,0.66
Test_281,0.42,0.06,0.03,0.49
Test_282,0.24,0.23,0.16,0.37
Test_283,0.0,0.1,0.9,0.0
Test_284,0.0,0.07,0.93,0.0
Test_285,0.61,0.04,0.05,0.3
Test_286,0.17,0.04,0.01,0.78
Test_287,0.25,0.08,0.05,0.63
Test_288,0.11,0.13,0.06,0.7
Test_289,0.13,0.03,0.01,0.83
Test_290,0.0,0.28,0.72,0.0
Test_291,0.01,0.19,0.8,0.0
Test_292,0.65,0.07,0.09,0.19
Test_293,0.0,0.02,0.98,0.0
Test_294,0.04,0.12,0.83,0.01
Test_295,0.0,0.04,0.96,0.0
Test_296,0.17,0.17,0.2,0.46
Test_297,0.19,0.08,0.03,0.7
Test_298,0.0,0.02,0.98,0.0
Test_299,0.02,0.47,0.47,0.04
Test_300,0.81,0.01,0.02,0.15
Test_301,0.16,0.1,0.04,0.7
Test_302,0.27,0.1,0.05,0.58
Test_303,0.34,0.12,0.05,0.5
Test_304,0.51,0.1,0.04,0.34
Test_305,0.29,0.08,0.03,0.6
Test_306,0.4,0.11,0.07,0.43
Test_307,0.64,0.08,0.07,0.22
Test_308,0.24,0.25,0.3,0.21
Test_309,0.0,0.0,1.0,0.0
Test_310,0.0,0.03,0.97,0.0
Test_311,0.0,0.02,0.98,0.0
Test_312,0.26,0.04,0.02,0.68
Test_313,0.61,0.05,0.05,0.29
Test_314,0.19,0.05,0.02,0.73
Test_315,0.11,0.03,0.01,0.85
Test_316,0.0,0.01,0.99,0.0
Test_317,0.02,0.18,0.77,0.04
Test_318,0.8,0.05,0.05,0.1
Test_319,0.0,0.0,1.0,0.0
Test_320,0.02,0.17,0.81,0.01
Test_321,0.33,0.11,0.04,0.53
Test_322,0.23,0.16,0.08,0.53
Test_323,0.2,0.08,0.7,0.02
Test_324,0.0,0.0,1.0,0.0
Test_325,0.25,0.06,0.02,0.67
Test_326,0.01,0.43,0.56,0.0
Test_327,0.23,0.07,0.02,0.68
Test_328,0.0,0.0,1.0,0.0
Test_329,0.0,0.0,1.0,0.0
Test_330,0.0,0.02,0.98,0.0
Test_331,0.5,0.14,0.08,0.28
Test_332,0.66,0.04,0.07,0.24
Test_333,0.0,0.04,0.96,0.0
Test_334,0.0,0.02,0.98,0.0
Test_335,0.56,0.04,0.09,0.31
Test_336,0.0,0.17,0.82,0.0
Test_337,0.69,0.02,0.09,0.19
Test_338,0.62,0.05,0.05,0.28
Test_339,0.02,0.35,0.61,0.02
Test_340,0.8,0.04,0.07,0.09
Test_341,0.62,0.03,0.1,0.25
Test_342,0.25,0.05,0.03,0.67
Test_343,0.31,0.01,0.01,0.68
Test_344,0.0,0.0,1.0,0.0
Test_345,0.01,0.03,0.96,0.0
Test_346,0.0,0.02,0.98,0.0
Test_347,0.0,0.0,1.0,0.0
Test_348,0.18,0.11,0.04,0.67
Test_349,0.17,0.19,0.21,0.43
Test_350,0.48,0.06,0.03,0.42
Test_351,0.0,0.02,0.98,0.0
Test_352,0.46,0.08,0.03,0.43
Test_353,0.29,0.26,0.28,0.16
Test_354,0.0,0.0,1.0,0.0
Test_355,0.64,0.09,0.06,0.21
Test_356,0.58,0.07,0.04,0.32
Test_357,0.59,0.05,0.09,0.27
Test_358,0.26,0.14,0.06,0.54
Test_359,0.29,0.04,0.02,0.65
Test_360,0.26,0.09,0.03,0.61
Test_361,0.73,0.02,0.03,0.22
Test_362,0.2,0.03,0.01,0.75
Test_363,0.0,0.08,0.92,0.0
Test_364,0.0,0.0,1.0,0.0
Test_365,0.0,0.0,1.0,0.0
Test_366,0.0,0.01,0.99,0.0
Test_367,0.32,0.05,0.03,0.6
Test_368,0.32,0.1,0.04,0.55
Test_369,0.15,0.18,0.08,0.59
Test_370,0.0,0.04,0.96,0.0
Test_371,0.0,0.02,0.98,0.0
Test_372,0.32,0.08,0.05,0.55
Test_373,0.0,0.03,0.97,0.0
Test_374,0.0,0.03,0.97,0.0
Test_375,0.37,0.07,0.03,0.53
Test_376,0.76,0.04,0.07,0.12
Test_377,0.29,0.12,0.05,0.54
Test_378,0.0,0.01,0.99,0.0
Test_379,0.13,0.21,0.36,0.29
Test_380,0.33,0.11,0.05,0.51
Test_381,0.31,0.04,0.03,0.62
Test_382,0.24,0.1,0.05,0.6
Test_383,0.55,0.03,0.02,0.4
Test_384,0.0,0.0,1.0,0.0
Test_385,0.21,0.05,0.02,0.73
Test_386,0.0,0.4,0.6,0.0
Test_387,0.27,0.06,0.03,0.64
Test_388,0.32,0.11,0.05,0.52
Test_389,0.64,0.08,0.05,0.23
Test_390,0.36,0.08,0.03,0.53
Test_391,0.0,0.02,0.97,0.0
Test_392,0.11,0.35,0.35,0.2
Test_393,0.3,0.07,0.03,0.61
Test_394,0.51,0.04,0.04,0.41
Test_395,0.0,0.02,0.98,0.0
Test_396,0.3,0.07,0.03,0.6
Test_397,0.32,0.08,0.07,0.53
Test_398,0.0,0.0,1.0,0.0
Test_399,0.47,0.02,0.01,0.49
Test_400,0.0,0.13,0.87,0.0
Test_401,0.0,0.08,0.92,0.0
Test_402,0.16,0.06,0.02,0.75
Test_403,0.33,0.24,0.3,0.13
Test_404,0.21,0.07,0.03,0.69
Test_405,0.17,0.03,0.01,0.79
Test_406,0.2,0.09,0.03,0.68
Test_407,0.15,0.05,0.01,0.78
Test_408,0.21,0.16,0.07,0.56
Test_409,0.03,0.33,0.6,0.03
Test_410,0.26,0.09,0.03,0.62
Test_411,0.52,0.05,0.18,0.26
Test_412,0.26,0.2,0.32,0.22
Test_413,0.38,0.03,0.02,0.57
Test_414,0.0,0.04,0.96,0.0
Test_415,0.0,0.06,0.94,0.0
Test_416,0.32,0.1,0.11,0.47
Test_417,0.0,0.01,0.99,0.0
Test_418,0.49,0.1,0.06,0.35
Test_419,0.4,0.18,0.19,0.23
Test_420,0.0,0.0,1.0,0.0
Test_421,0.3,0.07,0.03,0.6
Test_422,0.5,0.02,0.01,0.47
Test_423,0.0,0.0,1.0,0.0
Test_424,0.01,0.35,0.64,0.01
Test_425,0.22,0.04,0.01,0.72
Test_426,0.0,0.09,0.91,0.0
Test_427,0.18,0.04,0.02,0.77
Test_428,0.17,0.03,0.01,0.78
Test_429,0.0,0.0,1.0,0.0
Test_430,0.0,0.13,0.86,0.0
Test_431,0.17,0.18,0.16,0.49
Test_432,0.21,0.06,0.02,0.71
Test_433,0.08,0.02,0.01,0.89
Test_434,0.15,0.04,0.01,0.8
Test_435,0.23,0.05,0.02,0.7
Test_436,0.26,0.04,0.03,0.67
Test_437,0.0,0.04,0.96,0.0
Test_438,0.0,0.02,0.98,0.0
Test_439,0.0,0.07,0.93,0.0
Test_440,0.0,0.03,0.97,0.0
Test_441,0.28,0.19,0.16,0.37
Test_442,0.0,0.0,1.0,0.0
Test_443,0.28,0.16,0.47,0.09
Test_444,0.22,0.05,0.02,0.71
Test_445,0.0,0.02,0.98,0.0
Test_446,0.01,0.26,0.73,0.01
Test_447,0.0,0.05,0.95,0.0
Test_448,0.0,0.0,1.0,0.0
Test_449,0.21,0.08,0.04,0.67
Test_450,0.01,0.17,0.81,0.01
Test_451,0.0,0.02,0.98,0.0
Test_452,0.02,0.12,0.85,0.01
Test_453,0.14,0.04,0.01,0.81
Test_454,0.0,0.02,0.98,0.0
Test_455,0.13,0.08,0.02,0.77
Test_456,0.0,0.1,0.9,0.0
Test_457,0.16,0.04,0.01,0.8
Test_458,0.35,0.11,0.12,0.41
Test_459,0.0,0.03,0.97,0.0
Test_460,0.37,0.03,0.02,0.58
Test_461,0.23,0.06,0.03,0.68
Test_462,0.0,0.12,0.88,0.0
Test_463,0.11,0.12,0.07,0.69
Test_464,0.38,0.07,0.09,0.46
Test_465,0.0,0.0,1.0,0.0
Test_466,0.0,0.06,0.94,0.0
Test_467,0.19,0.15,0.07,0.59
Test_468,0.58,0.12,0.2,0.1
Test_469,0.0,0.06,0.94,0.0
Test_470,0.25,0.14,0.34,0.27
Test_471,0.01,0.1,0.89,0.0
Test_472,0.19,0.09,0.04,0.69
Test_473,0.1,0.32,0.31,0.27
Test_474,0.0,0.12,0.88,0.0
Test_475,0.19,0.13,0.05,0.62
Test_476,0.1,0.03,0.02,0.86
Test_477,0.24,0.12,0.05,0.59
Test_478,0.21,0.11,0.05,0.64
Test_479,0.84,0.01,0.04,0.11
Test_480,0.0,0.03,0.97,0.0
Test_481,0.56,0.11,0.09,0.23
Test_482,0.17,0.03,0.01,0.8
Test_483,0.01,0.16,0.84,0.0
Test_484,0.25,0.09,0.03,0.62
Test_485,0.73,0.08,0.09,0.1
Test_486,0.23,0.13,0.05,0.59
Test_487,0.67,0.07,0.08,0.17
Test_488,0.0,0.07,0.93,0.0
Test_489,0.0,0.0,1.0,0.0
Test_490,0.0,0.06,0.94,0.0
Test_491,0.0,0.16,0.83,0.0
Test_492,0.33,0.04,0.02,0.61
Test_493,0.55,0.11,0.06,0.28
Test_494,0.0,0.06,0.94,0.0
Test_495,0.11,0.06,0.02,0.81
Test_496,0.48,0.04,0.05,0.43
Test_497,0.16,0.08,0.05,0.71
Test_498,0.2,0.05,0.01,0.74
Test_499,0.0,0.03,0.97,0.0
Test_500,0.2,0.04,0.76,0.0
Test_501,0.49,0.02,0.02,0.47
Test_502,0.66,0.1,0.11,0.13
Test_503,0.0,0.07,0.93,0.0
Test_504,0.87,0.02,0.05,0.05
Test_505,0.29,0.04,0.02,0.65
Test_506,0.0,0.03,0.97,0.0
Test_507,0.0,0.14,0.85,0.01
Test_508,0.0,0.02,0.98,0.0
Test_509,0.0,0.01,0.99,0.0
Test_510,0.0,0.0,1.0,0.0
Test_511,0.15,0.12,0.05,0.67
Test_512,0.86,0.02,0.05,0.07
Test_513,0.16,0.04,0.02,0.78
Test_514,0.26,0.16,0.06,0.51
Test_515,0.0,0.01,0.99,0.0
Test_516,0.0,0.02,0.98,0.0
Test_517,0.23,0.18,0.08,0.51
Test_518,0.0,0.04,0.96,0.0
Test_519,0.16,0.29,0.42,0.13
Test_520,0.0,0.0,1.0,0.0
Test_521,0.28,0.06,0.02,0.63
Test_522,0.0,0.03,0.97,0.0
Test_523,0.01,0.09,0.89,0.01
Test_524,0.0,0.03,0.97,0.0
Test_525,0.56,0.15,0.12,0.17
Test_526,0.01,0.26,0.72,0.01
Test_527,0.84,0.01,0.14,0.01
Test_528,0.0,0.06,0.94,0.0
Test_529,0.12,0.14,0.14,0.6
Test_530,0.21,0.07,0.04,0.69
Test_531,0.0,0.01,0.99,0.0
Test_532,0.54,0.06,0.14,0.26
Test_533,0.46,0.17,0.26,0.11
Test_534,0.26,0.02,0.01,0.71
Test_535,0.0,0.01,0.99,0.0
Test_536,0.0,0.01,0.99,0.0
Test_537,0.0,0.0,1.0,0.0
Test_538,0.15,0.04,0.01,0.79
Test_539,0.0,0.0,1.0,0.0
Test_540,0.0,0.01,0.99,0.0
Test_541,0.52,0.07,0.05,0.37
Test_542,0.85,0.03,0.06,0.06
Test_543,0.01,0.51,0.45,0.03
Test_544,0.03,0.24,0.71,0.03
Test_545,0.0,0.22,0.78,0.0
Test_546,0.53,0.08,0.04,0.35
Test_547,0.0,0.01,0.99,0.0
Test_548,0.0,0.02,0.98,0.0
Test_549,0.3,0.05,0.06,0.59
Test_550,0.13,0.05,0.02,0.79
Test_551,0.54,0.06,0.03,0.37
Test_552,0.0,0.03,0.97,0.0
Test_553,0.28,0.14,0.09,0.5
Test_554,0.23,0.02,0.01,0.73
Test_555,0.36,0.08,0.03,0.53
Test_556,0.37,0.09,0.04,0.51
Test_557,0.0,0.17,0.83,0.0
Test_558,0.0,0.09,0.91,0.0
Test_559,0.49,0.08,0.04,0.38
Test_560,0.0,0.0,1.0,0.0
Test_561,0.0,0.08,0.92,0.0
Test_562,0.0,0.08,0.91,0.0
Test_563,0.0,0.07,0.92,0.0
Test_564,0.0,0.16,0.84,0.0
Test_565,0.0,0.05,0.95,0.0
Test_566,0.0,0.01,0.99,0.0
Test_567,0.26,0.06,0.03,0.64
Test_568,0.48,0.1,0.37,0.05
Test_569,0.53,0.06,0.25,0.16
Test_570,0.2,0.05,0.02,0.73
Test_571,0.0,0.04,0.96,0.0
Test_572,0.33,0.07,0.05,0.54
Test_573,0.47,0.06,0.03,0.44
Test_574,0.28,0.06,0.03,0.64
Test_575,0.2,0.09,0.03,0.68
Test_576,0.44,0.15,0.11,0.3
Test_577,0.17,0.07,0.04,0.72
Test_578,0.02,0.08,0.89,0.01
Test_579,0.63,0.06,0.14,0.17
Test_580,0.0,0.01,0.99,0.0
Test_581,0.12,0.04,0.83,0.01
Test_582,0.0,0.17,0.83,0.0
Test_583,0.39,0.03,0.04,0.54
Test_584,0.31,0.04,0.03,0.62
Test_585,0.0,0.04,0.96,0.0
Test_586,0.52,0.05,0.03,0.4
Test_587,0.0,0.04,0.96,0.0
Test_588,0.0,0.02,0.98,0.0
Test_589,0.8,0.04,0.06,0.1
Test_590,0.0,0.1,0.9,0.0
Test_591,0.0,0.05,0.95,0.0
Test_592,0.35,0.07,0.03,0.55
Test_593,0.0,0.12,0.88,0.0
Test_594,0.0,0.0,1.0,0.0
Test_595,0.15,0.09,0.03,0.72
Test_596,0.4,0.08,0.09,0.43
Test_597,0.17,0.05,0.02,0.77
Test_598,0.1,0.11,0.78,0.01
Test_599,0.23,0.09,0.04,0.64
Test_600,0.0,0.01,0.99,0.0
Test_601,0.47,0.08,0.04,0.41
Test_602,0.26,0.06,0.02,0.66
Test_603,0.47,0.06,0.03,0.44
Test_604,0.0,0.15,0.84,0.0
Test_605,0.42,0.08,0.03,0.48
Test_606,0.29,0.06,0.03,0.62
Test_607,0.14,0.02,0.0,0.84
Test_608,0.27,0.05,0.02,0.65
Test_609,0.35,0.1,0.06,0.49
Test_610,0.2,0.21,0.11,0.48
Test_611,0.44,0.05,0.02,0.5
Test_612,0.0,0.0,1.0,0.0
Test_613,0.17,0.07,0.03,0.73
Test_614,0.0,0.23,0.76,0.0
Test_615,0.0,0.04,0.96,0.0
Test_616,0.13,0.03,0.01,0.84
Test_617,0.38,0.08,0.03,0.51
Test_618,0.25,0.1,0.11,0.54
Test_619,0.0,0.08,0.92,0.0
Test_620,0.02,0.09,0.89,0.0
Test_621,0.83,0.02,0.03,0.12
Test_622,0.03,0.26,0.69,0.02
Test_623,0.28,0.11,0.04,0.56
Test_624,0.0,0.34,0.66,0.0
Test_625,0.28,0.07,0.03,0.62
Test_626,0.0,0.17,0.83,0.0
Test_627,0.51,0.11,0.08,0.3
Test_628,0.3,0.04,0.01,0.65
Test_629,0.69,0.02,0.04,0.26
Test_630,0.32,0.06,0.06,0.55
Test_631,0.25,0.05,0.02,0.68
Test_632,0.35,0.08,0.04,0.53
Test_633,0.0,0.04,0.96,0.0
Test_634,0.22,0.12,0.05,0.61
Test_635,0.45,0.03,0.02,0.5
Test_636,0.54,0.04,0.05,0.37
Test_637,0.0,0.02,0.98,0.0
Test_638,0.67,0.04,0.1,0.19
Test_639,0.0,0.0,1.0,0.0
Test_640,0.35,0.07,0.07,0.51
Test_641,0.47,0.06,0.46,0.01
Test_642,0.27,0.16,0.08,0.48
Test_643,0.32,0.11,0.06,0.52
Test_644,0.16,0.12,0.04,0.68
Test_645,0.79,0.06,0.06,0.09
Test_646,0.0,0.0,1.0,0.0
Test_647,0.02,0.46,0.49,0.03
Test_648,0.21,0.03,0.01,0.75
Test_649,0.02,0.19,0.78,0.02
Test_650,0.0,0.0,1.0,0.0
Test_651,0.12,0.08,0.03,0.77
Test_652,0.04,0.42,0.51,0.04
Test_653,0.27,0.11,0.04,0.58
Test_654,0.16,0.11,0.71,0.02
Test_655,0.15,0.09,0.06,0.7
Test_656,0.14,0.04,0.01,0.81
Test_657,0.0,0.03,0.97,0.0
Test_658,0.55,0.04,0.04,0.37
Test_659,0.49,0.04,0.04,0.43
Test_660,0.0,0.14,0.86,0.0
Test_661,0.13,0.04,0.02,0.81
Test_662,0.11,0.02,0.01,0.86
Test_663,0.0,0.0,1.0,0.0
